Observation,FLC,Dataset,Method,DGM.Y,DGM.X,Censoring,SampleSize,ExtraVars,Cindex2.5,Cindex10,Cindex50,Cindex80,Cindex90,Cindex97.5,IBS,qloss2.5,qloss10,qloss50,qloss80,qloss90,qloss97.5
81,2,14,CIF,Weibull,Linear,10,1700,None,0.873943121,0.881040225,0.879784781,0.879169869,0.86615424,0.845042275,0.013874688,40.06719918,158.7661376,641.2021726,683.9946838,764.6531305,721.4285203
82,2,14,RotSF,Weibull,Linear,10,1700,None,0.837483987,0.826979247,0.815116577,0.82354599,0.81537279,0.79513195,0.01422008,40.06458586,158.0816256,658.0712039,737.9630001,745.4808843,651.7378721
83,2,14,ORSF,Weibull,Linear,10,1700,None,0.887291827,0.904739944,0.913399949,0.908813733,0.901767871,0.854727133,0.012886912,39.98003148,156.7367241,576.10384,692.3691526,780.8355708,730.240391
84,2,14,RIST,Weibull,Linear,10,1700,None,0.880527799,0.890366385,0.888419165,0.880015373,0.877658212,0.857186779,0.013127644,39.51071456,153.5267042,538.5079222,730.1887031,714.4111682,637.3386434
85,2,15,logrank,Weibull,Linear,10,1700,None,0.809798865,0.843295513,0.88032491,0.882052604,0.88076328,0.853197524,0.015170149,25.56427733,97.57779787,370.9947951,426.7832839,318.8473158,151.163861
86,2,15,L1,Weibull,Linear,10,1700,None,0.836797318,0.867122228,0.876895307,0.858767406,0.845023208,0.816271274,0.015170149,25.9660916,101.6909003,398.1593355,432.394046,358.7723926,189.1199319
87,2,15,CIF,Weibull,Linear,10,1700,None,0.861655493,0.869262506,0.878004126,0.872898401,0.866529139,0.844069108,0.014977254,25.98085304,102.1535741,420.9647188,398.618757,328.1590298,185.6051908
88,2,15,RotSF,Weibull,Linear,10,1700,None,0.828029912,0.823439917,0.826328004,0.828648788,0.820036101,0.795435792,0.018272747,25.71263359,100.2293247,439.7325255,480.2313421,354.3574959,196.6452208
89,2,15,ORSF,Weibull,Linear,10,1700,None,0.87313048,0.893115008,0.904951006,0.906369263,0.897215059,0.875373904,0.013578827,25.9207189,101.2909314,377.6441132,340.2903638,250.3456812,183.6917986
90,2,15,RIST,Weibull,Linear,10,1700,None,0.854486849,0.870422898,0.878055699,0.879963899,0.872743682,0.858561114,0.014965754,25.37141508,95.9840576,397.6760109,367.9857501,262.414644,117.8126074
91,2,16,logrank,Weibull,Linear,10,1700,None,0.844638892,0.862509252,0.892883578,0.897113249,0.894337528,0.863698847,0.016310997,72.72543588,285.824194,1105.322975,1401.948104,1524.440176,1479.190918
92,2,16,L1,Weibull,Linear,10,1700,None,0.840514962,0.88347256,0.901157872,0.874193719,0.854314265,0.820318283,0.016310997,73.10458182,290.2110542,1230.241811,1517.769949,1575.925947,1549.499296
93,2,16,CIF,Weibull,Linear,10,1700,None,0.870228402,0.873453526,0.892830707,0.888045892,0.881172676,0.85730147,0.018517584,73.1035397,290.6417737,1285.551079,1579.127969,1633.143109,1666.006411
94,2,16,RotSF,Weibull,Linear,10,1700,None,0.8151105,0.820926298,0.827825949,0.83559797,0.829940785,0.81569208,0.020967464,72.95173721,289.3579459,1282.565328,1636.299969,1707.756517,1648.636516
95,2,16,ORSF,Weibull,Linear,10,1700,None,0.889129745,0.899439569,0.916596172,0.919715555,0.916516866,0.881859998,0.01558091,73.00990266,289.0641312,1249.353317,1374.883477,1456.916838,1509.158341
96,2,16,RIST,Weibull,Linear,10,1700,None,0.877445279,0.880749709,0.895579994,0.890107857,0.88556096,0.876467167,0.015809666,72.47995407,283.9427451,1149.958643,1444.539455,1469.040884,1453.15324
97,2,17,logrank,Weibull,Linear,10,1700,None,0.838932182,0.863258214,0.884003791,0.887452612,0.878211879,0.843671019,0.013184411,84.92623763,335.9396652,1342.353903,1673.858286,1808.801615,1768.151702
98,2,17,L1,Weibull,Linear,10,1700,None,0.849541912,0.877790649,0.88266112,0.858756318,0.837747473,0.82850674,0.013184411,85.22761252,338.0559685,1474.312173,1789.452709,1836.32848,1764.962001
99,2,17,CIF,Weibull,Linear,10,1700,None,0.879291281,0.887768534,0.888347725,0.879475569,0.871314238,0.85899326,0.014132234,85.22626124,339.0627614,1557.615454,1801.263635,1873.174688,1781.105767
100,2,17,RotSF,Weibull,Linear,10,1700,None,0.828901643,0.832218829,0.839406066,0.837800126,0.833377211,0.825584457,0.016266814,85.32607748,339.9458006,1594.353153,2038.396653,1955.546495,1787.03783
101,2,17,ORSF,Weibull,Linear,10,1700,None,0.889979992,0.910225358,0.921045703,0.913700505,0.906276327,0.859493471,0.013240472,85.13169469,337.5840265,1495.159261,1616.423008,1722.397529,1803.316218
102,2,17,RIST,Weibull,Linear,10,1700,None,0.886610152,0.885346462,0.894508214,0.893270851,0.887663227,0.866628054,0.012855709,84.76383845,334.857568,1507.163303,1651.943348,1735.469355,1748.720985
103,2,18,logrank,Weibull,Linear,10,1700,None,0.839667333,0.861274871,0.890883251,0.889093589,0.882250763,0.861564375,0.019083759,43.28087546,169.1642691,664.6704102,660.792949,586.9426212,501.6641555
104,2,18,L1,Weibull,Linear,10,1700,None,0.824955258,0.865485841,0.902884514,0.879171492,0.846510159,0.796004843,0.019083759,43.57674682,172.5196406,699.3949488,784.2312674,750.6215775,622.7924117
105,2,18,CIF,Weibull,Linear,10,1700,None,0.869249395,0.876618591,0.89893673,0.88961996,0.877223918,0.836245921,0.021808563,43.56036655,172.4388368,723.5598949,738.5904303,720.7761738,632.5636796
106,2,18,RotSF,Weibull,Linear,10,1700,None,0.83369302,0.833982524,0.846931256,0.844273081,0.845641646,0.832403411,0.024022738,43.38130086,170.7079848,727.8646039,881.5540984,772.2704033,600.0253415
107,2,18,ORSF,Weibull,Linear,10,1700,None,0.878276661,0.898357722,0.91593852,0.910648489,0.902542373,0.859695757,0.018988836,43.49736955,171.2414466,684.4481096,635.0051003,567.361489,552.0875035
108,2,18,RIST,Weibull,Linear,10,1700,None,0.873328771,0.890409517,0.897620802,0.893751974,0.886172229,0.85727445,0.017550213,42.88500141,165.2017212,613.3279258,687.3171257,583.9034763,487.1563933
109,2,19,logrank,Weibull,Linear,10,1700,None,0.84516413,0.864916641,0.894843119,0.894118256,0.895127887,0.870948535,0.017033439,117.3905356,461.3930342,2064.881884,3086.046206,3380.329487,3613.76099
110,2,19,L1,Weibull,Linear,10,1700,None,0.845008802,0.86517552,0.894040592,0.871932277,0.856451279,0.823573574,0.017033439,117.979915,468.9694855,2069.490996,3026.876809,3298.545295,3395.943619
111,2,19,CIF,Weibull,Linear,10,1700,None,0.879931656,0.886481309,0.899218184,0.896163405,0.88697318,0.856244175,0.024063889,118.0118783,470.3309553,2165.459916,3117.190973,3464.86627,3646.779301
112,2,19,RotSF,Weibull,Linear,10,1700,None,0.843300197,0.853810707,0.85593352,0.852775189,0.849073211,0.844180387,0.025793425,117.8888212,468.6562845,2167.272915,3170.65775,3455.551738,3626.759085
113,2,19,ORSF,Weibull,Linear,10,1700,None,0.880190535,0.899761831,0.913430672,0.915087501,0.905716061,0.861266439,0.020647264,117.8799993,468.0002482,2137.738758,3095.753029,3397.605722,3645.91878
114,2,19,RIST,Weibull,Linear,10,1700,None,0.865745055,0.879025577,0.895956301,0.897716682,0.896525836,0.879413897,0.01875844,117.4084947,463.782434,2063.733766,3084.586793,3423.555387,3611.498552
115,2,20,logrank,Weibull,Linear,10,1700,None,0.828030536,0.851854698,0.87578133,0.881827031,0.87998258,0.841018547,0.011055317,41.48314351,162.1391419,550.395166,574.6293138,571.1333403,545.531784
116,2,20,L1,Weibull,Linear,10,1700,None,0.855005636,0.874090583,0.883978891,0.874679783,0.856388974,0.826672815,0.011055317,41.68942222,165.147999,699.2946256,762.4719328,617.1867012,585.7303669
117,2,20,CIF,Weibull,Linear,10,1700,None,0.881801414,0.876344912,0.88105851,0.880597397,0.869146429,0.84821703,0.012491394,41.69293745,165.4068161,731.2696396,778.6068435,664.5713964,655.2079006
118,2,20,RotSF,Weibull,Linear,10,1700,None,0.8219336,0.823188851,0.826800902,0.826288554,0.820627113,0.813736039,0.011922209,41.60038109,164.5732281,711.2508805,704.5792734,703.9357016,617.1431627
119,2,20,ORSF,Weibull,Linear,10,1700,None,0.890383236,0.897402398,0.907367558,0.906624654,0.903627421,0.869351368,0.010618227,41.62567694,164.3273338,682.0772418,579.7759698,557.7144651,571.8590315
120,2,20,RIST,Weibull,Linear,10,1700,None,0.869172046,0.874474844,0.885592786,0.881391536,0.873936879,0.858335895,0.009603442,41.20370307,162.2281091,639.0677478,570.043517,528.9596095,520.8627416
121,3,21,logrank,Weibull,Linear,70,400,None,0.827211213,0.841650556,0.806246979,0.650314161,0.543801353,0.5,0.073084889,209.6826653,838.2237215,4187.064223,6696.713833,7532.776891,8159.675553
122,3,21,L1,Weibull,Linear,70,400,None,0.865877235,0.889681005,0.766493475,0.632974867,0.616602223,0.616602223,0.073084889,209.6073107,837.83557,4183.388202,6680.020129,7511.003432,8134.110436
123,3,21,CIF,Weibull,Linear,70,400,None,0.886962301,0.895299662,0.842617206,0.575036249,0.5,0.5,0.084669686,209.7079001,838.447012,4187.342024,6696.922677,7532.810984,8159.675553
124,3,21,RotSF,Weibull,Linear,70,400,None,0.846967134,0.862373127,0.825036249,0.748308362,0.634001933,0.511901885,0.076400993,209.6638084,838.111635,4187.231119,6696.593992,7532.742699,8159.674778
125,3,21,ORSF,Weibull,Linear,70,400,None,0.875604157,0.905389077,0.866360561,0.598115031,0.5,0.5,0.0721014,209.7061909,838.4539091,4186.910002,6696.83909,7532.810984,8159.675553
126,3,21,RIST,Weibull,Linear,70,400,None,0.837058966,0.871556307,0.764983084,0.646085065,0.555461576,0.5,0.086832781,209.7066139,838.4779762,4187.455103,6696.721314,7532.782878,8159.675553
127,3,22,logrank,Weibull,Linear,70,400,None,0.832274292,0.84458565,0.787993116,0.627945459,0.523431295,0.5,0.076903516,93.10531069,371.9272017,1855.40258,2966.156529,3336.086939,3613.462868
128,3,22,L1,Weibull,Linear,70,400,None,0.86464125,0.888403495,0.784286471,0.713661636,0.680434207,0.680434207,0.076903516,93.06836422,370.5914406,1848.702019,2946.357177,3311.602144,3585.411908
129,3,22,CIF,Weibull,Linear,70,400,None,0.862192216,0.897868679,0.836311888,0.549708764,0.5,0.5,0.078777586,93.13648543,372.098345,1855.38801,2966.229668,3336.100115,3613.462868
130,3,22,RotSF,Weibull,Linear,70,400,None,0.877018798,0.895419645,0.839091872,0.725046333,0.611199365,0.5,0.066536244,93.06826183,371.8024681,1855.3065,2966.247165,3336.155187,3613.462868
131,3,22,ORSF,Weibull,Linear,70,400,None,0.886417792,0.91865237,0.866097432,0.57439767,0.513171829,0.5,0.069184667,93.1333875,372.0974926,1855.037725,2966.175856,3336.092836,3613.462868
132,3,22,RIST,Weibull,Linear,70,400,None,0.835980937,0.861066984,0.779256023,0.634034948,0.513171829,0.5,0.082788652,93.13190015,372.1964079,1855.440169,2966.124969,3336.093262,3613.462868
